Model,F1_mean,F1_std,AUC_mean,AUC_std,PRAUC_mean,PRAUC_std
ExtraTrees,0.634591721330462,0.024930801751920518,0.7322001467350304,0.0035601204131956023,0.3506334853830705,0.05976117065685175
KNN,0.6052236177182039,0.03142847220747001,0.6339079914952008,0.061499024365496556,0.22505124900591303,0.036118906419328294
RandomForest,0.603731503491088,0.023567169610928803,0.7310417074370563,0.024122403382858967,0.3550403042950258,0.06160271596322222
LightGBM,0.6006791107798867,0.035208741043665864,0.6436380915159985,0.05755559047169268,0.2894530744295175,0.07239806040146915
SVC,0.5928866231682357,0.032733356173805635,0.7366350288443313,0.0292179846701022,0.32200722299652434,0.06341772941704614
XGBoost,0.5896404212020749,0.021688748690332698,0.6673455646420762,0.0477045801211827,0.3190565613538313,0.070831679817438
LogisticRegression,0.5803352113634469,0.028560813034529366,0.700169188483142,0.03786327469909234,0.2886812891608699,0.03308148763457518
GradientBoosting,0.575291866448957,0.04195845661823596,0.6960381292358037,0.026336636968336807,0.3125350838089066,0.05187374295080826
