Model,F1_Orig,F1_Wgt,dF1,AUC_Orig,AUC_Wgt,dAUC,PRAUC_Orig,PRAUC_Wgt,dPRAUC,primary_metric
SVC,0.5830467071920933,0.6097993909810102,0.02675268378891693,0.7998800295311922,0.7895902547065339,-0.010289774824658315,0.4106547788433135,0.34434284557824185,-0.06631193326507162,PR-AUC
LogisticRegression,0.5806883699260381,0.6070906432748537,0.02640227334881562,0.7936969361387967,0.7969269102990033,0.00322997416020665,0.40323829156474555,0.4035903609252578,0.0003520693605122416,PR-AUC
RandomForest,0.6336996336996337,0.6336996336996337,0.0,0.7756090808416389,0.7757013658176449,9.228497600599628e-05,0.3589001308571984,0.35799617209336987,-0.0009039587638285385,PR-AUC
XGBoost,0.5964290081937141,0.5964290081937141,0.0,0.7412790697674418,0.7412790697674418,0.0,0.32817489763037816,0.32817489763037816,0.0,PR-AUC
GradientBoosting,0.5862813286964863,0.5862813286964863,0.0,0.6384736064968622,0.6384736064968622,0.0,0.2972575989569529,0.2972575989569529,0.0,PR-AUC
LightGBM,0.6296042252555045,0.6296042252555045,0.0,0.7663805832410484,0.7663805832410484,0.0,0.3932072968478383,0.3932072968478383,0.0,PR-AUC
ExtraTrees,0.6090266822141437,0.6090266822141437,0.0,0.784283868586194,0.784283868586194,0.0,0.418475954325774,0.418475954325774,0.0,PR-AUC
KNN,0.6803977272727273,0.6571889493849566,-0.02320877788777065,0.7271594684385382,0.7871447028423773,0.05998523440383907,0.2963496539183578,0.34431012440142084,0.04796047048306301,PR-AUC
