,n_estimators,min_samples_leaf,max_depth,learning_rate,num_leaves,C,gamma,n_neighbors
RandomForest,200.0,2.0,10.0,,,,,
XGBoost,100.0,,5.0,0.2,,,,
LightGBM,300.0,,,0.1,63.0,,,
GradientBoosting,300.0,,5.0,0.1,,,,
ExtraTrees,300.0,4.0,,,,,,
LogisticRegression,,,,,,10.0,,
SVC,,,,,,1,scale,
KNN,,,,,,,,9.0
