Model,F1_Orig,F1_Wgt,dF1,AUC_Orig,AUC_Wgt,dAUC,PRAUC_Orig,PRAUC_Wgt,dPRAUC,primary_metric
GradientBoosting,0.6515594541910331,0.6690909090909091,0.017531454899875953,0.6952662721893491,0.6982248520710059,0.00295857988165682,0.6494275113285201,0.6518491637501724,0.002421652421652376,F1-macro
SVC,0.6886973180076628,0.7031963470319634,0.01449902902430067,0.6646942800788955,0.6627218934911243,-0.0019723865877712132,0.5074043000200583,0.525492855407673,0.01808855538761467,F1-macro
XGBoost,0.6832358674463938,0.6832358674463938,0.0,0.7307692307692308,0.7307692307692308,0.0,0.6873098505337348,0.6873098505337348,0.0,F1-macro
RandomForest,0.6862934362934363,0.6862934362934363,0.0,0.7268244575936884,0.7287968441814595,0.001972386587771102,0.6805601525779237,0.6897939743117455,0.009233821733821812,F1-macro
LightGBM,0.6690909090909091,0.6690909090909091,0.0,0.7327416173570019,0.7327416173570019,0.0,0.6837372682167624,0.6837372682167624,0.0,F1-macro
ExtraTrees,0.7031963470319634,0.7031963470319634,0.0,0.7080867850098619,0.7080867850098619,0.0,0.671673240505062,0.671673240505062,0.0,F1-macro
LogisticRegression,0.6690909090909091,0.6690909090909091,0.0,0.6972386587771203,0.6942800788954635,-0.00295857988165682,0.6480295199722014,0.6407006008785764,-0.007328919093624986,F1-macro
KNN,0.6862934362934363,0.6549227799227799,-0.03137065637065639,0.7411242603550295,0.7085798816568047,-0.032544378698224796,0.6698025372371481,0.602794003792189,-0.06700853344495916,F1-macro
