Model,F1_mean,F1_std,AUC_mean,AUC_std,PRAUC_mean,PRAUC_std
ExtraTrees,0.7284881459311003,0.03344672279962258,0.7917387220536828,0.03251210447251275,0.6234743133542114,0.042373256705781535
RandomForest,0.7165497025045522,0.02988803688194004,0.7915031454401533,0.027861335313740906,0.6090261064893046,0.033266588847262815
SVC,0.7069509859745533,0.036261382707132805,0.7987950369840133,0.0378851326620189,0.5580522390913192,0.06281069226259259
KNN,0.6980807040695556,0.03570018534000085,0.7658637367298786,0.029955466036927527,0.48338923591770594,0.04252033048193095
GradientBoosting,0.689608141278029,0.040401442695210885,0.6705879568084293,0.03371551980213905,0.5053488356793794,0.051062718130288884
LogisticRegression,0.6854024104122691,0.03298930087742223,0.8141991720731878,0.023445513942366446,0.6351562325983247,0.03580530919516251
LightGBM,0.682474140822699,0.036221108315581146,0.7305408793597771,0.027145252256960115,0.5460271002712427,0.03634355652531521
XGBoost,0.67449789397278,0.03826105338409975,0.7374409638189166,0.03332839661369062,0.5483106741192326,0.030958764667779085
