Model,F1_Orig,F1_Wgt,dF1,AUC_Orig,AUC_Wgt,dAUC,PRAUC_Orig,PRAUC_Wgt,dPRAUC,primary_metric
RandomForest,0.5854385964912281,0.5854385964912281,0.0,0.7759462759462761,0.7759462759462761,0.0,0.27044073927458023,0.27044073927458023,0.0,PR-AUC
XGBoost,0.5832083958020989,0.5832083958020989,0.0,0.7307692307692307,0.7307692307692307,0.0,0.26353659776571475,0.26353659776571475,0.0,PR-AUC
LightGBM,0.5854385964912281,0.5854385964912281,0.0,0.7796092796092797,0.7796092796092797,0.0,0.27385231621556894,0.27385231621556894,0.0,PR-AUC
GradientBoosting,0.5487012987012987,0.5487012987012987,0.0,0.7307692307692307,0.7307692307692307,0.0,0.26353659776571475,0.26353659776571475,0.0,PR-AUC
ExtraTrees,0.5854385964912281,0.5854385964912281,0.0,0.7802197802197803,0.7802197802197803,0.0,0.2702225433550269,0.2702225433550269,0.0,PR-AUC
LogisticRegression,0.5854385964912281,0.5854385964912281,0.0,0.7912087912087913,0.7912087912087913,0.0,0.32288526524851796,0.32288526524851796,0.0,PR-AUC
SVC,0.5211976682564918,0.5211976682564918,0.0,0.7283272283272284,0.7631257631257632,0.034798534798534786,0.1917110659183314,0.18532834019159292,-0.006382725726738481,PR-AUC
KNN,0.5487012987012987,0.5487012987012987,0.0,0.6575091575091576,0.6575091575091576,0.0,0.2008063878567476,0.2008063878567476,0.0,PR-AUC
